arm,seed,k_star,censored
LRm_a0p1_1216,0,500,1
LRm_a0p1_1216,1,500,1
LRm_a0p1_1216,2,500,1
LRm_a0p1_1216,3,500,1
LRm_a0p1_1216,4,500,1
LRm_a0p1_1216,5,500,1
LRm_a0p1_1216,6,500,1
LRm_a0p1_1216,7,500,1
LRm_a0p1_1216,8,500,1
LRm_a0p1_1216,9,500,1
LRv_d2_1216,0,128,0
LRv_d2_1216,1,265,0
LRv_d2_1216,2,133,0
LRv_d2_1216,3,118,0
LRv_d2_1216,4,62,0
LRv_d2_1216,5,169,0
LRv_d2_1216,6,210,0
LRv_d2_1216,7,116,0
LRv_d2_1216,8,110,0
LRv_d2_1216,9,91,0
RB_d1_1216,0,64,0
RB_d1_1216,1,26,0
RB_d1_1216,2,133,0
RB_d1_1216,3,46,0
RB_d1_1216,4,62,0
RB_d1_1216,5,124,0
RB_d1_1216,6,72,0
RB_d1_1216,7,64,0
RB_d1_1216,8,75,0
RB_d1_1216,9,97,0
CB_a1_1216,0,500,1
CB_a1_1216,1,500,1
CB_a1_1216,2,500,1
CB_a1_1216,3,500,1
CB_a1_1216,4,500,1
CB_a1_1216,5,500,1
CB_a1_1216,6,500,1
CB_a1_1216,7,500,1
CB_a1_1216,8,500,1
CB_a1_1216,9,500,1
LRv_d1_1216,0,500,1
LRv_d1_1216,1,500,1
LRv_d1_1216,2,500,1
LRv_d1_1216,3,500,1
LRv_d1_1216,4,500,1
LRv_d1_1216,5,500,1
LRv_d1_1216,6,500,1
LRv_d1_1216,7,500,1
LRv_d1_1216,8,500,1
LRv_d1_1216,9,500,1
RB_d0p5_1216,0,44,0
RB_d0p5_1216,1,25,0
RB_d0p5_1216,2,36,0
RB_d0p5_1216,3,46,0
RB_d0p5_1216,4,42,0
RB_d0p5_1216,5,94,0
RB_d0p5_1216,6,84,0
RB_d0p5_1216,7,66,0
RB_d0p5_1216,8,54,0
RB_d0p5_1216,9,91,0
RB_d2_1216,0,315,0
RB_d2_1216,1,125,0
RB_d2_1216,2,500,0
RB_d2_1216,3,111,0
RB_d2_1216,4,394,0
RB_d2_1216,5,500,1
RB_d2_1216,6,314,0
RB_d2_1216,7,126,0
RB_d2_1216,8,161,0
RB_d2_1216,9,91,0
RB_d4_1216,0,500,1
RB_d4_1216,1,32,0
RB_d4_1216,2,500,1
RB_d4_1216,3,500,1
RB_d4_1216,4,500,1
RB_d4_1216,5,500,1
RB_d4_1216,6,500,1
RB_d4_1216,7,500,1
RB_d4_1216,8,500,1
RB_d4_1216,9,500,1
LRq_d1_1216,0,129,0
LRq_d1_1216,1,26,0
LRq_d1_1216,2,87,0
LRq_d1_1216,3,46,0
LRq_d1_1216,4,500,1
LRq_d1_1216,5,128,0
LRq_d1_1216,6,138,0
LRq_d1_1216,7,25,0
LRq_d1_1216,8,71,0
LRq_d1_1216,9,175,0
CB_a2_1216,0,500,1
CB_a2_1216,1,500,1
CB_a2_1216,2,500,1
CB_a2_1216,3,500,1
CB_a2_1216,4,500,1
CB_a2_1216,5,500,1
CB_a2_1216,6,500,1
CB_a2_1216,7,500,1
CB_a2_1216,8,500,1
CB_a2_1216,9,500,1
