act,arm,seed,task,online_acc,memo_acc,dead_frac_l1,wt_med_l1,mob_l1,mob_l2,zbar_l1,zbar_l2,rowmean_abs_med_l1
LR,l2wt,7,1,0.95,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,2,0.9491111111,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,3,0.9482222222,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,4,0.9473333333,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,5,0.9464444444,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,6,0.9455555556,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,7,0.9446666667,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,8,0.9437777778,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,9,0.9428888889,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,10,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,11,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,12,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,13,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,14,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,15,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,16,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,17,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,18,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,19,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,20,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,21,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,22,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,23,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,24,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,25,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,26,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,27,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,28,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,29,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,30,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,31,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,32,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,33,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,34,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,35,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,36,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,37,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,38,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,39,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,40,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,41,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,42,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,43,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,44,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,45,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,46,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,47,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,48,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,49,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,7,50,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
