act,arm,seed,task,online_acc,memo_acc,dead_frac_l1,wt_med_l1,mob_l1,mob_l2,zbar_l1,zbar_l2,rowmean_abs_med_l1
LR,l2wt,2,1,0.95,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,2,0.9491111111,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,3,0.9482222222,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,4,0.9473333333,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,5,0.9464444444,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,6,0.9455555556,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,7,0.9446666667,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,8,0.9437777778,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,9,0.9428888889,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,10,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,11,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,12,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,13,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,14,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,15,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,16,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,17,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,18,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,19,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,20,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,21,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,22,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,23,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,24,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,25,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,26,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,27,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,28,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,29,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,30,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,31,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,32,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,33,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,34,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,35,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,36,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,37,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,38,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,39,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,40,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,41,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,42,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,43,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,44,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,45,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,46,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,47,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,48,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,49,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,2,50,0.942,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
